hex_id,badQualityPercent,meeting,attendee
85088637fffffff,0,0|1,0|1
85088647fffffff,0,0|7,0|7
8508864ffffffff,0,0|1,0|1
8508866ffffffff,0,0|6,0|6
85088667fffffff,0,0|6,0|7
85088677fffffff,0,0|18,0|21
85088697fffffff,0,0|8,0|8
85488687fffffff,0,0|1,0|1
856086a7fffffff,0,0|1,0|1
850886cffffffff,0,0|1,0|1
850886d7fffffff,0,0|1,0|1
852886c7fffffff,0,0|5,0|5
8510892ffffffff,0.11,1|9,1|9
85288957fffffff,0,0|1,0|1
854c8913fffffff,0,0|1,0|1
85088997fffffff,0.17,1|3,1|6
852889b7fffffff,0,0|1,0|1
854c89a3fffffff,0.09,1|9,1|11
8560884ffffffff,0,0|4,0|4
853c8893fffffff,0.2,2|10,2|10
852888affffffff,0,0|42,0|95
852888a7fffffff,0,0|1,0|1
85588347fffffff,0,0|1,0|1
85608367fffffff,0,0|5,0|6
8548834ffffffff,0,0|1,0|1
85608337fffffff,0,0|4,0|5
853c835bfffffff,0,0|1,0|1
8548832ffffffff,0,0|1,0|1
853c83a3fffffff,0.25,1|4,1|4
853c83b3fffffff,0.33,1|3,1|3
85588267fffffff,0,0|1,0|1
8548826ffffffff,0,0|7,0|7
85488227fffffff,0,0|2,0|2
854882d7fffffff,0,0|1,0|6
853c82dbfffffff,0.5,1|2,1|2
850882d7fffffff,0,0|1,0|1
85608287fffffff,0,0|1,0|1
8560856ffffffff,0.07,6|57,6|89
8528850ffffffff,0,0|1,0|1
853c8553fffffff,0.25,1|4,1|4
8510856ffffffff,0,0|3,0|3
85088557fffffff,0.5,1|2,1|2
85288547fffffff,0,0|3,0|3
8548852ffffffff,0,0|1,0|1
85488527fffffff,0,0|1,0|1
85488597fffffff,0,0|1,0|1
852885cffffffff,0,0|2,0|2
85288427fffffff,0,0|3,0|3
8528840ffffffff,0,0|4,0|4
85288437fffffff,0.03,1|24,1|33
854884c7fffffff,0,0|2,0|2
85608497fffffff,0,0|2,0|2
852884cffffffff,0,0|2,0|2
85608e4ffffffff,0,0|15,0|17
85088e27fffffff,0,0|5,0|7
853c8e5bfffffff,0,0|2,0|2
853c8e43fffffff,0.09,25|273,26|305
853c8e4bfffffff,0,0|2,0|2
853c8eabfffffff,0,0|6,0|6
853c8e7bfffffff,0,0|4,0|5
853c8ec3fffffff,0,0|1,0|1
85609157fffffff,0,0|3,0|3
853c9123fffffff,0,0|1,0|1
85309147fffffff,0,0|1,0|1
853c9133fffffff,0.09,8|82,8|86
855891d7fffffff,0.22,2|6,2|9
85609197fffffff,0.05,120|1664,130|2485
85609177fffffff,0,0|1,0|1
854091affffffff,0,0|1,0|1
8548906ffffffff,0,0|1,0|1
85289037fffffff,0,0|1,0|1
8548902ffffffff,0,0|7,0|10
85609007fffffff,0,0|25,0|26
854890b7fffffff,0,0|3,0|3
853c90a3fffffff,0,0|5,0|5
85289077fffffff,0,0|1,0|1
85609097fffffff,0,0|1,0|1
85409087fffffff,0.13,4|24,4|30
856090a7fffffff,0,0|1,0|1
85609087fffffff,0,0|1,0|1
85608b57fffffff,0.04,129|2039,151|3602
85608b47fffffff,0,0|5,0|5
